Дата;Продажи;Остаток;Цена;Со скидкой и промо;Скидка;Цена со скидкой;Промокод;СПП;Цена с СПП;Сумма продаж;Комментариев;Рейтинг;Остатки за сутки
2021-07-09;;;;;;;;;;;;;2021-07-09
2021-07-08;24;676;2890;670;71;838;20;5;636;16080;2028;5;2021-07-08
2021-07-07;19;700;2890;578;75;722;20;5;549;10982;2024;5;2021-07-07
2021-07-06;21;719;2890;578;75;722;20;5;549;12138;2016;5;2021-07-06
2021-07-05;17;740;2890;624;73;780;20;5;593;10608;1999;5;2021-07-05
2021-07-04;18;757;2890;624;73;780;20;5;593;11232;1991;5;2021-07-04
2021-07-03;15;775;2890;624;73;780;20;5;593;9360;1978;5;2021-07-03
2021-07-02;27;790;2890;624;73;780;20;5;593;16848;1969;5;2021-07-02
2021-07-01;21;816;2890;624;73;780;20;5;593;13104;1961;5;2021-07-01
2021-06-30;20;838;2890;624;73;780;20;5;593;12480;1952;5;2021-06-30
2021-06-29;21;858;2890;624;73;780;20;5;593;13104;1937;5;2021-06-29
2021-06-28;17;879;2890;624;73;780;20;5;593;10608;1930;5;2021-06-28
2021-06-27;14;895;2890;624;73;780;20;5;593;8736;1919;5;2021-06-27
2021-06-26;16;910;2890;624;73;780;20;5;593;9984;1916;5;2021-06-26
2021-06-25;14;927;2890;624;73;780;20;5;593;8736;1903;5;2021-06-25
2021-06-24;11;942;2890;624;73;780;20;0;624;6864;1898;5;2021-06-24
2021-06-23;19;951;2890;667;67;953;30;5;634;12673;1888;5;2021-06-23
2021-06-22;8;971;2890;667;67;953;30;0;667;5336;1881;5;2021-06-22
2021-06-21;16;977;2890;762;67;953;20;5;724;12192;1872;5;2021-06-21
2021-06-20;24;994;2890;601;74;751;20;5;571;14424;1858;5;2021-06-20
2021-06-19;14;1016;2890;601;74;751;20;5;571;8414;1849;5;2021-06-19
2021-06-18;13;838;2890;601;74;751;20;5;571;7813;1835;5;2021-06-18
2021-06-17;15;851;2890;601;74;751;20;5;571;9015;1821;5;2021-06-17
