Дата;Продажи;Остаток;Цена;Со скидкой и промо;Скидка;Цена со скидкой;Промокод;СПП;Цена с СПП;Сумма продаж;Комментариев;Рейтинг;Остатки за сутки
2021-06-16;14;862;2890;601;74;751;20;5;571;8414;1811;5;2021-06-16
2021-06-15;19;686;2890;601;74;751;20;5;571;11419;1797;5;2021-06-15
2021-06-14;16;702;2890;508;78;635;20;5;483;8128;1790;5;2021-06-14
2021-06-13;39;718;2890;508;78;635;20;0;508;19812;1778;5;2021-06-13
2021-06-12;25;757;2890;508;78;635;20;5;483;12700;1771;5;2021-06-12
2021-06-11;42;544;2890;508;78;635;20;5;483;21336;1764;5;2021-06-11
2021-06-10;29;586;2890;554;76;693;20;5;527;16066;1748;5;2021-06-10
2021-06-09;29;569;2890;508;78;635;20;5;483;14732;1738;5;2021-06-09
2021-06-08;26;600;2890;508;78;635;20;5;483;13208;1732;5;2021-06-08
2021-06-07;15;626;2890;670;71;838;20;5;636;10050;1719;5;2021-06-07
2021-06-06;19;640;2890;601;74;751;20;5;571;11419;1711;5;2021-06-06
2021-06-05;5;658;2890;601;74;751;20;5;571;3005;1705;5;2021-06-05
2021-06-04;17;661;2890;601;74;751;20;5;571;10217;1696;5;2021-06-04
2021-06-03;21;678;2890;601;74;751;20;5;571;12621;1689;5;2021-06-03
2021-06-02;13;579;2890;601;74;751;20;5;571;7813;1679;5;2021-06-02
2021-06-01;25;591;2890;601;74;751;20;5;571;15025;1670;5;2021-06-01
2021-05-31;30;617;2890;531;77;664;20;5;505;15930;1659;5;2021-05-31
2021-05-30;1;0;2890;531;77;664;20;5;505;531;1654;5;2021-05-30
2021-05-29;1;0;2890;531;77;664;20;5;505;531;1644;5;2021-05-29
2021-05-28;1;0;2890;531;77;664;20;5;505;531;1629;5;2021-05-28
2021-05-27;0;0;2890;531;77;664;20;0;531;0;1616;5;2021-05-27
2021-05-26;11;1;2890;628;71;838;25;5;597;6908;1597;5;2021-05-26
2021-05-25;15;11;2890;628;71;838;25;5;597;9420;1596;5;2021-05-25
2021-05-24;18;27;2890;624;73;780;20;0;624;11232;1587;5;2021-05-24
2021-05-23;24;44;2890;578;75;722;20;5;549;13872;1582;5;2021-05-23
2021-05-22;16;65;2890;578;75;722;20;5;549;9248;1573;5;2021-05-22
2021-05-21;35;81;2890;578;75;722;20;5;549;20230;1565;5;2021-05-21
2021-05-20;21;116;2890;578;75;722;20;0;578;12138;1555;5;2021-05-20
2021-05-19;38;136;2890;578;75;722;20;0;578;21964;1546;5;2021-05-19
2021-05-18;3;175;2890;578;75;722;20;0;578;1734;1529;5;2021-05-18
2021-05-17;11;177;2890;901;61;1127;20;0;901;9911;1522;5;2021-05-17
2021-05-16;12;188;2890;855;63;1069;20;0;855;10260;1508;5;2021-05-16
2021-05-15;7;201;2890;855;63;1069;20;5;812;5985;1495;5;2021-05-15
2021-05-14;10;208;2890;855;63;1069;20;5;812;8550;1486;5;2021-05-14
2021-05-13;11;218;2890;890;56;1271;30;5;845;9790;1472;5;2021-05-13
2021-05-12;7;229;2890;890;56;1271;30;5;845;6230;1460;5;2021-05-12
2021-05-11;1;236;2890;1017;56;1271;20;5;966;1017;1450;5;2021-05-11
2021-05-10;3;235;2890;1156;50;1445;20;5;1098;3468;1436;5;2021-05-10
Суммарно (60 дней);1 014 шт;;;;;;;;;616 176,00 ₽;;;Суммарно (60 дней)
Среднее (в день);17 шт;;;;;;;;;10 269,60 ₽;;;Среднее (в день)
Дней с наличием;56 дней;;;;;;;;;;;;Дней с наличием
Среднее при наличии;18 шт;;;;;;;;;10 974,70 ₽;;;Среднее при наличии
Потенциал;;;;;;;;;;660 189,00 ₽;;;Потенциал
Упущенная выручка;;;;;;;;;;44 013,00 ₽;;;Упущенная выручка
